VendorID,Vehicle_License_Number,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
2,V83729 ,1/12/2017 00:48,1/12/2017 01:00,N,1,255,66,1,4.96,16,0.5,0.5,3.46,0,,0.3,20.76,1,1
2,V83729 ,1/12/2017 02:18,1/12/2017 02:32,N,1,256,36,5,3.18,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,V83729 ,1/12/2017 06:31,1/12/2017 06:41,N,1,244,235,1,1.91,9.5,0,0.5,0,0,,0.3,10.3,2,1
2,V83729 ,1/12/2017 07:08,1/12/2017 07:38,N,1,33,161,1,7.51,25.5,0,0.5,3.94,0,,0.3,30.24,1,1
2,V83729 ,1/12/2017 09:09,1/12/2017 09:15,N,1,116,166,1,1.66,7.5,0,0.5,0,0,,0.3,8.3,2,1
2,V83729 ,1/12/2017 11:09,1/12/2017 12:00,N,1,146,161,1,2.93,22.5,0,0.5,0,0,,0.3,23.3,2,1
2,V83729 ,1/12/2017 13:20,1/12/2017 13:48,N,1,242,167,1,3.77,20,0,0.5,0,0,,0.3,20.8,2,1
2,V83729 ,1/12/2017 13:21,1/12/2017 13:30,N,1,41,24,1,1.74,8.5,0,0.5,0,0,,0.3,9.3,2,1
2,V83729 ,1/12/2017 14:27,1/12/2017 14:32,N,1,116,116,1,0.53,5,0,0.5,1.16,0,,0.3,6.96,1,1
2,V83729 ,1/12/2017 15:45,1/12/2017 15:49,N,1,33,40,1,0.77,5,0,0.5,0,0,,0.3,5.8,2,1
1,V83729 ,1/12/2017 16:46,1/12/2017 16:54,N,1,75,74,1,1.4,7.5,1,0.5,2.3,0,,0.3,11.6,1,1
2,V83729 ,1/12/2017 16:53,1/12/2017 17:37,N,1,42,231,5,8.65,31.5,1,0.5,0,0,,0.3,33.3,2,1
