Nombre De Empresa, Numero De Servicios Realizados, Numero de Empresas que realizan servicios = 90
"GRAND TRANSPORTATION SERVICES INC      ",87396
"CAIRO TRANSPORTATION INC               ",71984
"R TRANSPORT INC                        ",55746
"GRAND LIMO & CAR SERVICE INC.          ",55028
"EXIT CAR SERVICE INC.                  ",49061
"JOY LUXURY INC                         ",45116
"ZYNC INC                               ",37196
"PIA CAR LIMO. INC.                     ",31678
"NY CAR & LIMO SERVICES INC.            ",26971
"BANGLA CAR & LIMO. SERVICE INC.        ",25252
"JOY CAR SERVICES INC.                  ",20128
"EAGER LIMO SERVICE INC.                ",18276
"COLUMBIA STREET LIMOUSINE SERVICE, INC.",16422
"REPUBLICA CAR & LIMO SERVICE CORP.     ",15478
"MILKY WAY LIMO CORP                    ",14532
"G.T.N.Y. CAR SERVICE, INC.             ",14376
"ALL QUEENS CAR & LIMOUSINE INC.        ",13603
"MY STREET CAR & LIMO SVC INC.          ",12712
"NO BASE                                ",12703
"LAPUMA TRANSPORTATION GROUP,LLC        ",11914
"TAP & RIDE,INC.                        ",11801
"PREMIUM RADIO DISP & MULTI SVC         ",11064
"FIRST CLASS C/L SVC CORP               ",10078
"DIPLO RAD DISP INC                     ",9944
"CAIRO LIMO SERVICE INC.                ",9078
"APOLLO RADIO DISPATCH INC.             ",9040
"R C AUDUBON SVC INC                    ",9017
"IVOIRE LIMO INC.                       ",8975
"RIVERSIDE RADIO DISPATCHER             ",8133
"V.I.T. CAR SERVICE, INC.               ",7386
"EILAT TRANSPORTATION CORP              ",7382
"ACCESS TRANSPORTATION GROUP, LLC       ",7280
"NOVAK GLOBAL, INC.                     ",7216
"UNITED EXP C/L SVCE                    ",7190
"KALIA & SONS LIMOUSINE, INC.           ",6435
"AMERICAN DREAM CAR SERVICE INC.        ",6431
"MALCOLM LIMO EXPRESS CORP.             ",6337
"HOYT LIMO & SVC CORP                   ",5545
"YOURS CAR SERVICE INC                  ",5530
"AMK LUXURY CAR & LIMO INC.             ",5528
"KENNEDY RAD DISP INC                   ",5495
"ALLTOWN LIMO CORP.                     ",5383
"CHARGE AND RIDE INC                    ",5361
"EARLY BIRD CAR SERVICE INC             ",4535
"UNION RADIO DISPATCH INC               ",4464
"SUPER CLASS RADIO DISP INC             ",4459
"JPAN TRANSPORTATION INC                ",3678
"COOPERATIVA CLBNA DE CON INC           ",3667
"GEORGE TOWN MANAGEMENT INC             ",3628
"ROYAL CAR & LIMO SERVICE INC.          ",3624
"EL BARRIO'S CAR SERVICE LLC            ",3614
"HIGH CLASS BRONX LIMO C/S CORP         ",3571
"R & N CAR SERVICE INC.                 ",3519
"LLAMA LIMO C/S CORP                    ",2775
"KISS CAR SERVICE INC                   ",2768
"WATSON CAR SERVICE INC.                ",2756
"R N D TRANSPORTATION, INC.             ",2731
"CLEAN AIR CAR SERVICE AND PARKING CORP.",2724
"PROFESSIONAL CAR SERVICE INC           ",2684
"NEW SUPERIOR RADIO GRP CORP            ",2665
"NEW MEXICANA CAR SERVICE II INC.       ",1931
"CLASSIC CAR SERVICE CORP.              ",1823
"SAETA CAR SERVICE INC.                 ",1817
"GLS TRANS INC                          ",1785
"CHAMPION CAR & LIMO SVC. INC.          ",1784
"NY ATLIXCO CAR SERVICE INC             ",1751
"3210 WEBSTER AV PRESTIGE C/S           ",971
"X RADIO DISPATCHER INC.                ",951
"FRIENDLY BEST-WAY TRANSPORTATION, INC. ",949
"GO CAR CORP.                           ",944
"THE NEW BROOKLYN C/S INC               ",938
"THE EXCELLENT C/S INC                  ",936
"NEW PRONTO TRANSP INC                  ",932
"DALLAS LIMO, INC                       ",926
"BOERUM HILL CAR & LIMO SERVICE INC.    ",923
"HARLEM CARS INC.                       ",921
"KOOP DISPATCHING INC.                  ",914
"ECONOMY CAR SERVICE, LLC               ",913
"SEAMAN RADIO DISPATCHERS INC           ",912
"DREAMLAND CAR & LIMO.SVC INC.          ",911
"NEW HARLEM C/S INC                     ",906
"PREMIUM BRONX CORP                     ",902
"CIBAO RADIO DISPATCH                   ",900
"YELLOWSTONE TRANSPORTATION INC.        ",895
"CONTINENTAL C/L SVCE                   ",882
"NEW DAYNIGHT CAR SVCE                  ",875
"AFRO CAR SERVICE CORP                  ",871
"ABBA LOCAL TRANSPORTATION INC          ",871
"NEW EXPERIENCE #1 INC                  ",858
"FREEDOM LIMO & CAR SERVICE             ",845
